ID,STEP ID,Name,Alias,Category,Product,Duration,Mode,Language,Price
EDU-769,cours000000000003416,Intro to Splunk (eLearning),intro-to-splunk,Platform,,0.75,E,English,0
EDU-779,cours000000000003611,Using Fields (eLearning),using-fields,Platform,,1,E,English,0
EDU-775,cours000000000003397,Scheduling Reports & Alerts (eLearning),scheduling-reports-and-alerts,Platform,,3,E,English,0
EDU-777,cours000000000003643,Visualizations (eLearning),visualizations,Platform,,1,E,English,0
EDU-1013,cours000000000003621,Working with Time (eLearning),working-with-time,Platform,,3,E,English,0
EDU-1002,cours000000000003582,Statistical Processing (eLearning),statistical-processing,Platform,,3,E,English,0
EDU-1025,cours000000000003246,Comparing Values (eLearning),comparing-values,Platform,,3,E,English,0
EDU-1015,cours000000000003392,Result Modification (eLearning),result-modification,Platform,,3,E,English,0
EDU-753,cours000000000003379,Leveraging Lookups and Subsearches,leveraging-lookups-and-subsearches,Platform,,3,EWL,English,300
EDU-755,cours000000000003257,Correlation Analysis,correlation-analysis,Platform,,3,ILT,English,500
EDU-773,cours000000000003458,Search Under the Hood (eLearning),search-under-the-hood,Platform,,1,E,English,0
EDU-711,cours000000000003383,Multivalue Fields,multivalue-fields,Platform,,3,EWL,English,300
EDU-771,cours000000000003413,Intro to Knowledge Objects (eLearning),intro-to-knowledge-objects,Platform,,1,E,English,0
EDU-998,cours000000000003326,Creating Knowledge Objects (eLearning),creating-knowledge-objects,Platform,,3,E,English,0
EDU-999,cours000000000003321,Creating Field Extractions (eLearning),creating-field-extractions,Platform,,3,E,English,0
EDU-1000,cours000000000003370,Enriching Data with Lookups (eLearning),enriching-data-with-lookups,Platform,,3,E,English,0
EDU-1001,cours000000000003337,Data Models (eLearning),data-models,Platform,,3,E,English,0
EDU-778,cours000000000003411,Introduction to Dashboards (eLearning),introduction-to-dashboards,Platform,,1,E,English,0
EDU-748,cours000000000003366,Dynamic Dashboards,dynamic-dashboards,Platform,,3,EWL,English,300
EDU-847,cours000000000003329,Creating Maps,creating-maps,Platform,,4.5,EWL,English,300
EDU-757,cours000000000003454,Search Optimization,search-optimization,Platform,,3,EWL,English,300
EDU-1152,cours000000000003512,Splunk Cloud Administration,splunk-cloud-administration,Platform,,18,ILT,English,2000
EDU-969,cours000000000003500,Splunk Enterprise System Administration,splunk-enterprise-system-administration,Platform,,14,ILT,English,1500
EDU-970,cours000000000003499,Splunk Enterprise Data Administration,splunk-enterprise-data-administration,Platform,,21,ILT,English,2250
